epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1010.92,0.42578,0.49678,0.86115,0.94073,0.95514,0.97615,0.93134,0.34221,0.35495,0.83614,0.004258,0.004258,0.004258
60,1027.94,0.42803,0.48211,0.8651,0.93729,0.94667,0.97728,0.92982,0.34313,0.36475,0.83865,0.004159,0.004159,0.004159
61,1044.95,0.41446,0.46367,0.86479,0.93027,0.95822,0.98127,0.93987,0.34406,0.34684,0.83732,0.00406,0.00406,0.00406
62,1062.03,0.41681,0.48818,0.86654,0.9211,0.95764,0.97955,0.93889,0.32821,0.37507,0.82868,0.003961,0.003961,0.003961
63,1079.03,0.41622,0.47929,0.86131,0.93592,0.95117,0.97843,0.93229,0.33519,0.35591,0.83227,0.003862,0.003862,0.003862
64,1096.05,0.40689,0.46963,0.85961,0.94148,0.95151,0.97744,0.93525,0.33597,0.34389,0.83163,0.003763,0.003763,0.003763
65,1113.06,0.40951,0.45409,0.85959,0.93735,0.96318,0.97475,0.93266,0.33998,0.35737,0.83715,0.003664,0.003664,0.003664
66,1130.16,0.40719,0.45658,0.85677,0.94812,0.95759,0.97938,0.94066,0.33139,0.33836,0.82946,0.003565,0.003565,0.003565
67,1147.16,0.40272,0.46811,0.85847,0.92146,0.95607,0.97842,0.94083,0.32232,0.34664,0.83023,0.003466,0.003466,0.003466
68,1164.17,0.40153,0.45555,0.85631,0.92917,0.93884,0.97933,0.93715,0.32752,0.35331,0.83482,0.003367,0.003367,0.003367
69,1181.22,0.4086,0.45693,0.8642,0.94915,0.93358,0.97746,0.93719,0.3267,0.34437,0.83278,0.003268,0.003268,0.003268
70,1198.13,0.41372,0.45912,0.86277,0.93411,0.95067,0.97179,0.92838,0.3263,0.3328,0.83141,0.003169,0.003169,0.003169
71,1215.23,0.40757,0.45323,0.8626,0.91673,0.95574,0.97449,0.93688,0.32231,0.32851,0.82497,0.00307,0.00307,0.00307
72,1232.29,0.40985,0.44185,0.86141,0.95049,0.95404,0.97648,0.93536,0.33036,0.31824,0.83245,0.002971,0.002971,0.002971
73,1249.4,0.39395,0.43483,0.85495,0.93587,0.94759,0.97604,0.9348,0.31881,0.32448,0.82702,0.002872,0.002872,0.002872
74,1266.54,0.39709,0.43812,0.85612,0.93942,0.93949,0.97935,0.9426,0.3179,0.32415,0.82517,0.002773,0.002773,0.002773
75,1283.19,0.3976,0.43105,0.86267,0.93829,0.9537,0.98253,0.94804,0.31629,0.30814,0.82234,0.002674,0.002674,0.002674
76,1299.88,0.40011,0.44471,0.85917,0.93405,0.94873,0.97733,0.94222,0.32197,0.3252,0.82448,0.002575,0.002575,0.002575
77,1316.54,0.39498,0.42514,0.85234,0.94984,0.95094,0.98035,0.93805,0.32903,0.32002,0.82739,0.002476,0.002476,0.002476
78,1333.27,0.39002,0.41526,0.85015,0.95351,0.95414,0.9805,0.94731,0.31213,0.30399,0.82214,0.002377,0.002377,0.002377
79,1349.93,0.38493,0.41486,0.85546,0.93588,0.96627,0.9801,0.95048,0.31052,0.31164,0.8165,0.002278,0.002278,0.002278
80,1366.59,0.39015,0.41427,0.85267,0.9551,0.95535,0.98032,0.93987,0.31086,0.30094,0.82152,0.002179,0.002179,0.002179
81,1384.06,0.38555,0.40227,0.84722,0.95462,0.95922,0.9845,0.94751,0.3168,0.29599,0.82397,0.00208,0.00208,0.00208
82,1400.83,0.38509,0.40822,0.85274,0.95534,0.97208,0.98367,0.94841,0.3117,0.28879,0.82137,0.001981,0.001981,0.001981
83,1417.41,0.37655,0.39548,0.84802,0.9501,0.95848,0.98299,0.94079,0.31874,0.2985,0.82217,0.001882,0.001882,0.001882
84,1433.99,0.38331,0.38947,0.852,0.94561,0.96692,0.98056,0.93698,0.32803,0.28898,0.83073,0.001783,0.001783,0.001783
85,1450.57,0.3821,0.38752,0.85029,0.95042,0.96431,0.98361,0.9506,0.30913,0.29201,0.82038,0.001684,0.001684,0.001684
86,1467.24,0.38287,0.4005,0.85145,0.95206,0.96524,0.98261,0.94747,0.31283,0.28594,0.82709,0.001585,0.001585,0.001585
87,1483.81,0.38292,0.40385,0.8543,0.94401,0.95964,0.98343,0.94978,0.31601,0.29304,0.82464,0.001486,0.001486,0.001486
88,1500.39,0.37831,0.39349,0.85004,0.95931,0.97231,0.98533,0.94871,0.31325,0.27802,0.82165,0.001387,0.001387,0.001387
89,1516.98,0.37207,0.38206,0.84033,0.95684,0.96254,0.98105,0.94462,0.30809,0.27994,0.81859,0.001288,0.001288,0.001288
90,1533.65,0.37205,0.38297,0.84149,0.94915,0.96498,0.98189,0.94578,0.3114,0.27683,0.82247,0.001189,0.001189,0.001189
91,1560.87,0.33048,0.2815,0.83644,0.95956,0.95404,0.98006,0.94528,0.31317,0.2911,0.81962,0.00109,0.00109,0.00109
92,1577.21,0.32251,0.27669,0.83319,0.95413,0.95766,0.98135,0.94558,0.30436,0.28423,0.81567,0.000991,0.000991,0.000991
93,1593.57,0.31463,0.27364,0.82791,0.96705,0.96543,0.98219,0.94984,0.30776,0.27302,0.81556,0.000892,0.000892,0.000892
94,1610.05,0.31895,0.27329,0.8324,0.95871,0.96618,0.98225,0.95225,0.30554,0.27592,0.81982,0.000793,0.000793,0.000793
95,1626.42,0.31813,0.2715,0.83243,0.95447,0.96551,0.98266,0.95095,0.30662,0.27285,0.82135,0.000694,0.000694,0.000694
96,1642.84,0.31229,0.26668,0.83097,0.95365,0.96394,0.9824,0.95048,0.30526,0.27409,0.81923,0.000595,0.000595,0.000595
97,1659.78,0.31526,0.26109,0.8285,0.96281,0.96529,0.98255,0.95231,0.29664,0.26084,0.81166,0.000496,0.000496,0.000496
98,1676.59,0.30699,0.26194,0.82776,0.96236,0.965,0.98277,0.95265,0.29771,0.26367,0.81287,0.000397,0.000397,0.000397
99,1693.44,0.30315,0.25256,0.83098,0.96058,0.96328,0.98226,0.95147,0.30272,0.25802,0.81518,0.000298,0.000298,0.000298
100,1710.41,0.29869,0.24888,0.82076,0.95978,0.96577,0.9821,0.95054,0.29277,0.25779,0.80982,0.000199,0.000199,0.000199
